Problem,Encoding,Instance,Pre-processing,Result,Model,Time,Solving,1st Model,Unsat,CPU,Pre-proc Time(Nanos)
./Instances/Pigeon_Owner,active_BK_sat,o3_c1_p52_h54,OK,SATISFIABLE,1+,0.551,0,0,0,0.551,0
./Instances/Pigeon_Owner,BASE,o3_c1_p52_h54,OK,SATISFIABLE,1+,1.698,0.02,0.02,0,1.698,0
./Instances/Pigeon_Owner,SBASS,o3_c1_p52_h54,OK,UNKNOWN,0+,900,897.89,0,0,899.981,3.13E+11
./Instances/Pigeon_Owner,active_BK_enum,o4_c4_p12_h14,OK,UNSATISFIABLE,0,0.894,0.86,0,0.86,0.894,0
./Instances/Pigeon_Owner/,active_BK_full,o4_c4_p12_h14,OK,UNSATISFIABLE,0,1.114,1.07,0,1.07,1.114,0
./Instances/Pigeon_Owner,active_BK_order,o4_c4_p12_h14,OK,UNSATISFIABLE,0,3.162,3.12,0,3.12,3.162,0
./Instances/Pigeon_Owner,active_BK_sat,o4_c4_p12_h14,OK,UNSATISFIABLE,0,0.031,0,0,0,0.031,0
./Instances/Pigeon_Owner,BASE,o4_c4_p12_h14,OK,UNKNOWN,0+,900,899.94,0,0,899.98,0
./Instances/Pigeon_Owner,SBASS,o4_c4_p12_h14,OK,UNKNOWN,0+,900,899.94,0,0,899.98,1101746896
./Instances/Pigeon_Owner,active_BK_enum,o4_c4_p52_h55,OK,SATISFIABLE,1+,4.123,2.2,2.2,0,4.123,0
./Instances/Pigeon_Owner/,active_BK_full,o4_c4_p52_h55,OK,SATISFIABLE,1+,3.546,0.01,0.01,0,3.546,0
./Instances/Pigeon_Owner,active_BK_order,o4_c4_p52_h55,OK,SATISFIABLE,1+,3.486,0.04,0.04,0,3.486,0
./Instances/Pigeon_Owner,active_BK_sat,o4_c4_p52_h55,OK,SATISFIABLE,1+,1.819,0.01,0.01,0,1.819,0
./Instances/Pigeon_Owner,BASE,o4_c4_p52_h55,OK,SATISFIABLE,1+,6.653,0.04,0.04,0,6.653,0
./Instances/Pigeon_Owner,SBASS,o4_c4_p52_h55,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/Pigeon_Owner,active_BK_enum,o5_c5_p12_h15,OK,UNSATISFIABLE,0,0.684,0.63,0,0.63,0.684,0
./Instances/Pigeon_Owner/,active_BK_full,o5_c5_p12_h15,OK,UNSATISFIABLE,0,21.272,21.21,0,21.21,21.271,0
./Instances/Pigeon_Owner,active_BK_order,o5_c5_p12_h15,OK,UNSATISFIABLE,0,97.453,97.39,0,97.39,97.451,0
./Instances/Pigeon_Owner,active_BK_sat,o5_c5_p12_h15,OK,UNSATISFIABLE,0,0.061,0.01,0,0.01,0.061,0
./Instances/Pigeon_Owner,BASE,o5_c5_p12_h15,OK,UNKNOWN,0+,900,899.89,0,0,899.979,0
./Instances/Pigeon_Owner,SBASS,o5_c5_p12_h15,OK,UNKNOWN,0+,900,899.89,0,0,899.981,2092950376
./Instances/Pigeon_Owner,active_BK_enum,o5_c5_p52_h56,OK,SATISFIABLE,1+,13.984,10.89,10.89,0,13.984,0
./Instances/Pigeon_Owner/,active_BK_full,o5_c5_p52_h56,OK,SATISFIABLE,1+,200.467,194.07,194.07,0,200.463,0
./Instances/Pigeon_Owner,active_BK_order,o5_c5_p52_h56,OK,SATISFIABLE,1+,573.523,567.9,567.9,0,573.51,0
./Instances/Pigeon_Owner,active_BK_sat,o5_c5_p52_h56,OK,SATISFIABLE,1+,3.045,0.01,0.01,0,3.045,0
./Instances/Pigeon_Owner,BASE,o5_c5_p52_h56,OK,SATISFIABLE,1+,11.622,0.06,0.06,0,11.622,0
./Instances/Pigeon_Owner,SBASS,o5_c5_p52_h56,Timeout,UNKNOWN,0+,900,0,0,0,0,900
