ID_FILE_1,SOLVING_TIME_DEFAULT,SOLVING_TIME_CUSTOM
36_Enumerate_Alternative_Full_3_DEFAULT_20418_2-doublev-12,0.02,0.01
59_Enumerate_Alternative_Full_2_DEFAULT_16281_2-doublev-12,0.02,0
70_Enumerate_Alternative_Full_1_DEFAULT_28975_2-doublev-12,0.02,0
102_Enumerate_Alternative_Full_3_DEFAULT_31417_Un-2-doublev-9,0.03,0.01
104_Enumerate_Alternative_Full_2_DEFAULT_22564_Un-2-doublev-9,0.03,0.01
110_Enumerate_Alternative_Full_2_DEFAULT_27416_Un-2-doublev-9,0.03,0
112_Enumerate_Alternative_Full_1_DEFAULT_16567_Un-2-doublev-9,0.03,0.02
113_Enumerate_Alternative_Full_2_DEFAULT_70_Un-2-doublev-9,0.03,0.01
16_Enumerate_Alternative_Full_1_DEFAULT_26740_Un-2-doublev-9,0.03,0.01
28_Enumerate_Alternative_Full_1_DEFAULT_11547_Un-2-doublev-9,0.03,0.01
45_Enumerate_Alternative_Full_3_DEFAULT_15622_Un-2-doublev-9,0.03,0.01
64_Enumerate_Alternative_Full_1_DEFAULT_24318_Un-2-doublev-9,0.03,0.01
65_Enumerate_Alternative_Full_2_DEFAULT_26740_Un-2-doublev-9,0.03,0.01
86_Enumerate_Alternative_Full_2_DEFAULT_8467_Un-2-doublev-9,0.03,0.01
92_Enumerate_Alternative_Full_2_DEFAULT_2517_Un-2-doublev-9,0.03,0.01
97_Enumerate_Alternative_Full_1_DEFAULT_32033_Un-2-doublev-9,0.03,0.01
12_Enumerate_Alternative_Full_3_DEFAULT_31928_2-doublev-15,0.03,0.01
28_Enumerate_Alternative_Full_1_DEFAULT_11547_2-doublev-15,0.03,0.09
29_Enumerate_Alternative_Full_2_DEFAULT_7260_2-doublev-15,0.03,0.15
8_Enumerate_Alternative_Full_2_DEFAULT_26796_2-doublev-15,0.03,0.02
104_Enumerate_Alternative_Full_2_DEFAULT_22564_2-doublev-18,0.03,0.08
111_Enumerate_Alternative_Full_3_DEFAULT_21083_2-doublev-18,0.03,0.04
16_Enumerate_Alternative_Full_1_DEFAULT_26740_2-doublev-18,0.03,0
41_Enumerate_Alternative_Full_2_DEFAULT_69_2-doublev-18,0.03,0.01
83_Enumerate_Alternative_Full_2_DEFAULT_4448_2-doublev-18,0.03,0
46_Enumerate_Alternative_Full_1_DEFAULT_10222_2-doublev-21,0.03,0.01
113_Enumerate_Alternative_Full_2_DEFAULT_70_2-doublev-9,0.03,0
32_Enumerate_Alternative_Full_2_DEFAULT_29417_2-doublev-9,0.03,0.01
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-doublev-9,0.03,0
58_Enumerate_Alternative_Full_1_DEFAULT_26985_2-doublev-9,0.03,0.01
65_Enumerate_Alternative_Full_2_DEFAULT_26740_2-doublev-9,0.03,0.01
67_Enumerate_Alternative_Full_1_DEFAULT_17876_2-doublev-9,0.03,0
73_Enumerate_Alternative_Full_1_DEFAULT_5107_2-doublev-9,0.03,0
81_Enumerate_Alternative_Full_3_DEFAULT_2231_2-doublev-9,0.03,0.01
8_Enumerate_Alternative_Full_2_DEFAULT_26796_2-doublev-9,0.03,0
92_Enumerate_Alternative_Full_2_DEFAULT_2517_2-doublev-9,0.03,0
95_Enumerate_Alternative_Full_2_DEFAULT_15928_2-doublev-9,0.03,0
102_Enumerate_Alternative_Full_3_DEFAULT_31417_2-doublev-12,0.03,0
110_Enumerate_Alternative_Full_2_DEFAULT_27416_2-doublev-12,0.03,0
111_Enumerate_Alternative_Full_3_DEFAULT_21083_2-doublev-12,0.03,0.01
12_Enumerate_Alternative_Full_3_DEFAULT_31928_2-doublev-12,0.03,0
25_Enumerate_Alternative_Full_1_DEFAULT_6709_2-doublev-12,0.03,0.01
37_Enumerate_Alternative_Full_1_DEFAULT_3380_2-doublev-12,0.03,0
41_Enumerate_Alternative_Full_2_DEFAULT_69_2-doublev-12,0.03,0.01
46_Enumerate_Alternative_Full_1_DEFAULT_10222_2-doublev-12,0.03,0.01
49_Enumerate_Alternative_Full_1_DEFAULT_6652_2-doublev-12,0.03,0
4_Enumerate_Alternative_Full_1_DEFAULT_15262_2-doublev-12,0.03,0.01
74_Enumerate_Alternative_Full_2_DEFAULT_10838_2-doublev-12,0.03,0
81_Enumerate_Alternative_Full_3_DEFAULT_2231_2-doublev-12,0.03,0.51
101_Enumerate_Alternative_Full_2_DEFAULT_7830_Un-2-doublev-9,0.04,0.03
105_Enumerate_Alternative_Full_3_DEFAULT_7051_Un-2-doublev-9,0.04,0.01
80_Enumerate_Alternative_Full_2_DEFAULT_32737_Un-2-doublev-9,0.04,0.03
89_Enumerate_Alternative_Full_2_DEFAULT_9472_Un-2-doublev-9,0.04,0.01
106_Enumerate_Alternative_Full_1_DEFAULT_8543_2-doublev-15,0.04,0.03
7_Enumerate_Alternative_Full_1_DEFAULT_3718_2-doublev-18,0.04,0.01
41_Enumerate_Alternative_Full_2_DEFAULT_69_2-doublev-21,0.04,0.04
104_Enumerate_Alternative_Full_2_DEFAULT_22564_2-doublev-9,0.04,0
110_Enumerate_Alternative_Full_2_DEFAULT_27416_2-doublev-9,0.04,0.01
20_Enumerate_Alternative_Full_2_DEFAULT_13658_2-doublev-9,0.04,0
31_Enumerate_Alternative_Full_1_DEFAULT_16017_2-doublev-9,0.04,0
36_Enumerate_Alternative_Full_3_DEFAULT_20418_2-doublev-9,0.04,0
45_Enumerate_Alternative_Full_3_DEFAULT_15622_2-doublev-9,0.04,0
55_Enumerate_Alternative_Full_1_DEFAULT_2905_2-doublev-9,0.04,0
40_Enumerate_Alternative_Full_1_DEFAULT_14157_2-doublev-12,0.04,0.01
62_Enumerate_Alternative_Full_2_DEFAULT_21352_2-doublev-12,0.04,0.01
20_Enumerate_Alternative_Full_2_DEFAULT_13658_Un-2-doublev-9,0.05,0.01
5_Enumerate_Alternative_Full_2_DEFAULT_22084_Un-2-doublev-9,0.05,0.01
76_Enumerate_Alternative_Full_1_DEFAULT_9373_Un-2-doublev-9,0.05,0
98_Enumerate_Alternative_Full_2_DEFAULT_32598_Un-2-doublev-9,0.05,0.01
42_Enumerate_Alternative_Full_3_DEFAULT_3023_2-doublev-15,0.05,0.02
44_Enumerate_Alternative_Full_2_DEFAULT_13524_2-doublev-15,0.05,0.01
45_Enumerate_Alternative_Full_3_DEFAULT_15622_2-doublev-15,0.05,0.02
64_Enumerate_Alternative_Full_1_DEFAULT_24318_2-doublev-15,0.05,0.2
89_Enumerate_Alternative_Full_2_DEFAULT_9472_2-doublev-15,0.05,0.11
36_Enumerate_Alternative_Full_3_DEFAULT_20418_2-doublev-18,0.05,0
101_Enumerate_Alternative_Full_2_DEFAULT_7830_2-doublev-21,0.05,0.01
42_Enumerate_Alternative_Full_3_DEFAULT_3023_2-doublev-21,0.05,0.01
119_Enumerate_Alternative_Full_2_DEFAULT_31792_2-doublev-9,0.05,0
4_Enumerate_Alternative_Full_1_DEFAULT_15262_2-doublev-9,0.05,0
76_Enumerate_Alternative_Full_1_DEFAULT_9373_2-doublev-9,0.05,0.01
83_Enumerate_Alternative_Full_2_DEFAULT_4448_2-doublev-9,0.05,0
86_Enumerate_Alternative_Full_2_DEFAULT_8467_2-doublev-9,0.05,0.01
105_Enumerate_Alternative_Full_3_DEFAULT_7051_2-doublev-12,0.05,0.01
113_Enumerate_Alternative_Full_2_DEFAULT_70_2-doublev-12,0.05,0.01
120_Enumerate_Alternative_Full_3_DEFAULT_6602_2-doublev-12,0.05,0.03
16_Enumerate_Alternative_Full_1_DEFAULT_26740_2-doublev-12,0.05,0.01
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-doublev-12,0.05,0.01
12_Enumerate_Alternative_Full_3_DEFAULT_31928_Un-2-doublev-9,0.06,0.02
29_Enumerate_Alternative_Full_2_DEFAULT_7260_Un-2-doublev-9,0.06,0.01
55_Enumerate_Alternative_Full_1_DEFAULT_2905_Un-2-doublev-9,0.06,0.01
67_Enumerate_Alternative_Full_1_DEFAULT_17876_Un-2-doublev-9,0.06,0.02
74_Enumerate_Alternative_Full_2_DEFAULT_10838_Un-2-doublev-9,0.06,0.01
8_Enumerate_Alternative_Full_2_DEFAULT_26796_Un-2-doublev-9,0.06,0.02
46_Enumerate_Alternative_Full_1_DEFAULT_10222_2-doublev-15,0.06,0.01
49_Enumerate_Alternative_Full_1_DEFAULT_6652_2-doublev-24,0.06,0.34
13_Enumerate_Alternative_Full_1_DEFAULT_29690_2-doublev-9,0.06,0.01
5_Enumerate_Alternative_Full_2_DEFAULT_22084_2-doublev-9,0.06,0
13_Enumerate_Alternative_Full_1_DEFAULT_29690_2-doublev-12,0.06,0.02
35_Enumerate_Alternative_Full_2_DEFAULT_25977_2-doublev-12,0.06,0.02
42_Enumerate_Alternative_Full_3_DEFAULT_3023_2-doublev-12,0.06,0.01
100_Enumerate_Alternative_Full_1_DEFAULT_30414_Un-2-doublev-9,0.07,0
108_Enumerate_Alternative_Full_3_DEFAULT_16923_Un-2-doublev-9,0.07,0.01
109_Enumerate_Alternative_Full_1_DEFAULT_16687_Un-2-doublev-9,0.07,0
115_Enumerate_Alternative_Full_1_DEFAULT_16699_Un-2-doublev-9,0.07,0
31_Enumerate_Alternative_Full_1_DEFAULT_16017_Un-2-doublev-9,0.07,0.01
91_Enumerate_Alternative_Full_1_DEFAULT_13383_Un-2-doublev-9,0.07,0
110_Enumerate_Alternative_Full_2_DEFAULT_27416_2-doublev-15,0.07,0.02
117_Enumerate_Alternative_Full_3_DEFAULT_15838_2-doublev-15,0.07,0.01
22_Enumerate_Alternative_Full_1_DEFAULT_16849_2-doublev-15,0.07,0.01
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-doublev-15,0.07,0.01
87_Enumerate_Alternative_Full_3_DEFAULT_14775_2-doublev-15,0.07,0.01
49_Enumerate_Alternative_Full_1_DEFAULT_6652_2-doublev-18,0.07,0.4
102_Enumerate_Alternative_Full_3_DEFAULT_31417_2-doublev-21,0.07,0.01
110_Enumerate_Alternative_Full_2_DEFAULT_27416_2-doublev-21,0.07,0.19
41_Enumerate_Alternative_Full_2_DEFAULT_69_2-doublev-9,0.07,0
70_Enumerate_Alternative_Full_1_DEFAULT_28975_2-doublev-9,0.07,0.01
7_Enumerate_Alternative_Full_1_DEFAULT_3718_2-doublev-9,0.07,0
103_Enumerate_Alternative_Full_1_DEFAULT_31869_2-doublev-12,0.07,0
116_Enumerate_Alternative_Full_2_DEFAULT_25944_Un-2-doublev-9,0.08,0.01
44_Enumerate_Alternative_Full_2_DEFAULT_13524_Un-2-doublev-9,0.08,0.02
70_Enumerate_Alternative_Full_1_DEFAULT_28975_Un-2-doublev-9,0.08,0.02
73_Enumerate_Alternative_Full_1_DEFAULT_5107_Un-2-doublev-9,0.08,0.03
7_Enumerate_Alternative_Full_1_DEFAULT_3718_Un-2-doublev-9,0.08,0
94_Enumerate_Alternative_Full_1_DEFAULT_13727_Un-2-doublev-9,0.08,0.02
9_Enumerate_Alternative_Full_3_DEFAULT_25434_Un-2-doublev-9,0.08,0.02
41_Enumerate_Alternative_Full_2_DEFAULT_69_Un-2-doublev-12,0.08,0
35_Enumerate_Alternative_Full_2_DEFAULT_25977_2-doublev-15,0.08,0.01
49_Enumerate_Alternative_Full_1_DEFAULT_6652_2-doublev-15,0.08,0.09
78_Enumerate_Alternative_Full_3_DEFAULT_5812_2-doublev-15,0.08,0.17
101_Enumerate_Alternative_Full_2_DEFAULT_7830_2-doublev-18,0.08,0.01
1_Enumerate_Alternative_Full_1_DEFAULT_31681_2-doublev-18,0.08,0
29_Enumerate_Alternative_Full_2_DEFAULT_7260_2-doublev-18,0.08,0.14
91_Enumerate_Alternative_Full_1_DEFAULT_13383_2-doublev-18,0.08,0
40_Enumerate_Alternative_Full_1_DEFAULT_14157_2-doublev-9,0.08,0.01
91_Enumerate_Alternative_Full_1_DEFAULT_13383_2-doublev-9,0.08,0
20_Enumerate_Alternative_Full_2_DEFAULT_13658_2-doublev-12,0.08,0
32_Enumerate_Alternative_Full_2_DEFAULT_29417_2-doublev-12,0.08,0.02
8_Enumerate_Alternative_Full_2_DEFAULT_26796_2-doublev-12,0.08,0.02
32_Enumerate_Alternative_Full_2_DEFAULT_29417_Un-2-doublev-9,0.09,0.03
